user_query,expected_responses,SOURCE
What is the penalty for beating the red light in the Philippines?,"The penalty is usually a Php1,000 fine for the first offense, with higher fines or possible suspension of the driver’s license for repeated offenses. It’s also considered reckless driving if done deliberately or dangerously.",Republic Act No. 4136
When can a driver be issued a 10-year license?,Drivers who have not committed any traffic violation during the validity of their 5-year license are eligible to renew for a 10-year license. This law encourages safe driving behavior and compliance with traffic rules.,Republic Act No. 10930
When is it illegal to carry a child on a motorcycle?,"Carrying children on motorcycles along public roads where there is heavy traffic or high-speed vehicles is prohibited, unless the child can reach the foot peg, wrap their arms securely around the rider, and wear a standard helmet.",Republic Act No. 10666
Is it a violation to use your phone while stopped at a red light?,"Yes, using a handheld phone while the vehicle is temporarily stopped at a red light or in traffic is still considered distracted driving. Only hands-free devices are allowed unless it’s an emergency situation.",Republic Act No. 10913
What if I cover my plate number?,"Covering or altering over a motorcycle plate is strictly prohibited. Penalties include a Php50,000 to Php100,000 fine and revocation of registration.",Republic Act No. 11235
Can I park my car facing the opposite direction of traffic?,No. Parking against the flow of traffic is a violation under most city ordinances. Vehicles must park facing the same direction as traffic movement on that side of the road.,Republic Act No. 4136
What is the penalty for using unauthorized sirens or blinkers on a private vehicle?,"The unauthorized sirens, bells, horns, whistles, blinkers, or similar gadgets shall be punished with imprisonment for six months and/or a fine of Php600. In addition, the certificate of registration of the motor vehicle on which the device is installed shall be cancelled or revoked.",Presidental Decree 96
Are children allowed to sit in the front seat of a vehicle?,"No child 12 years and below shall be allowed to sit in a front seat of a motor vehicle with a running engine on any road, street, or highway.",Republic Act No. 11229
What is the penalty for driving under the influence of alcohol?,"If a person is found driving under the influence without causing physical injuries or homicide, the penalty shall be imprisonment for three (3) months and a fine ranging from Twenty Thousand Pesos (Php20,000.00) to Eighty Thousand Pesos (Php80,000.00). If the violation results in physical injuries, a fine ranging from One Hundred Thousand Pesos (Php100,000.00) to Two Hundred Thousand Pesos (Php200,000.00) shall be imposed. In cases where driving under the influence results in homicide, the fine shall range from Three Hundred Thousand Pesos (Php300,000.00) to Five Hundred Thousand Pesos (Php500,000.00). Non-professional license holders will have their license confiscated and suspended for a period of twelve (12) months for the first conviction and perpetually revoked for the second conviction. Professional license holders will have their license confiscated and perpetually revoked for the first conviction.",Republic Act No. 10586
What is the rule about overtaking another vehicle on a curved road?,"Drivers must not overtake on curves, hills, or areas with poor visibility. Doing so endangers other motorists and may result in fines or suspension of the driver’s license.",Republic Act No. 4136
What happens if I refuse to pay a traffic citation on time?,"Ignoring or refusing to pay a traffic citation can result in additional fines, license suspension, or being unable to renew your vehicle registration until all violations are settled.",Republic Act No. 4136
